stage_number,spp_number,stamp_name,elevation,elevation_unit,alpine_club,region,route_type,lat,lon,completed_at_date
1,1,Spodnje Radvanje,279,m,Planinska zveza Slovenije,Pohorje,Main,46.53228986,15.62830967,
2,2,Mariborska Koča,1068,m,Maribor -- Matica,Pohorje,Main,46.50480045,15.55446938,
3,3,Ruška koča,1250,m,Ruše,Pohorje,Main,46.49609727,15.50826703,
4,4,Klopni vrh,1340,m,Lovrenc na Pohorju,Pohorje,Main,46.50128609,15.39536944,
5,5,Koča na Pesku,1386,m,Oplotnica,Pohorje,Main,46.46751022,15.34388541,
6,6,Ribniška koča na Pohorju,1507,m,Paloma Sladki vrh,Pohorje,Main,46.49913803,15.26039168,
7,7a,Grmovškov dom pod Veliko Kopo,1377,m,Slovenj Gradec,Slovenj Gradec,Main,46.50697466,15.20528855,
8,7b,Koča Planinc,1010,m,Vuzenica,Slovenj Gradec,Main,46.53247255,15.17217312,
9,8,Koča pod Kremžarjevim vrhom,1102,m,Slovenj Gradec,Slovenj Gradec,Main,46.52870567,15.12866721,
10,9,Poštarski dom pod Plešivcem,805,m,PTT Maribor,Slovenj Gradec,Main,46.49778218,15.01198905,
11,10,Dom na Uršlji gori,1680,m,Prevalje,Slovenj Gradec,Main,46.48518707,14.96484465,
12,11,Andrejev dom na Slemenu,1096,m,Šoštanj,Velenje,Main,46.43959554,14.96428614,
13,12,Dom na Smrekovcu,1377,m,Črna na Koroškem,Koroška,Main,46.41432726,14.89999935,
14,13,Koča na Travniku,1548,m,Ljubno ob Savinji,Mozirje,Main,46.41657061,14.80773677,
15,14,Koča na Loki pod Raduho,1460,m,Luč,Mozirje,Main,46.41060636,14.75962464,
16,15,Velika Raduha,2062,m,Mežica,Mozirje,Main,46.41108727,14.73717064,
17,16,Koča v Grohotu pod Raduho,1460,m,Mežica,Mozirje,Main,46.42380381,14.74358042,
18,17,Kocbekov dom na Korošici,1808,m,Celje-Matica,Kamnik,Main,46.35612316,14.63936863,
19,18,Ojstrica,2350,m,Celje-Matica,Kamnik,Main,46.36660535,14.63870098,
20,19,Kamniška koča na Kamniškem sedlu,1864,m,Kamnik,Kamnik,Main,46.35957886,14.59742366,
21,20,Frischaufov dom na Okrešlju,1396,m,Celje-Matica,Kamnik,Main,46.37268713,14.59147101,
22,21,Kranjska koča na Ledinah,1700,m,Kranj,Kranj,Main,46.37063811,14.54941333,
23,22,Koroška Rinka (Križ),2433,m,Kranj,Kranj,Main,46.36741007,14.56475958,
24,23,Skuta,2532,m,Kamnik,Kamnik,Main,46.36368767,14.55764891,
25,24,Cojzova koča na Kokrskem sedlu,1793,m,Kamnik,Kamnik,Main,46.34618805,14.54724267,
26,25,Grintovec,2558,m,Kamnik,Kamnik,Main,46.35898431,14.53488305,
27,26,Jezerska Kočna,2540,m,Jezersko,Jezersko,Main,46.36073564,14.52245873,
